lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_acc,train_pruned_acc,train_delta,test_orig_acc,test_pruned_acc,test_delta,gap
0.01,0,4800,0.001,pre_decay,0.6868328675627708,31.316713243722916,0.9876342490315437,5.232560634613037,False,69.5,83.0,13.5,63.5,73.5,10.0,3.5
0.01,0,5000,0.001,pre_decay,0.6887774774804711,31.122252251952887,-0.19446099177002907,7.113009691238403,False,69.5,86.0,16.5,63.5,75.0,11.5,5.0
0.01,0,5200,0.001,pre_decay,0.6867164811119437,31.328351888805628,0.20609963685274124,4.932776093482971,False,69.5,85.0,15.5,63.5,75.0,11.5,4.0
0.01,0,5400,0.001,pre_decay,0.6842580391094089,31.574196089059114,0.24584420025348663,7.185682654380798,False,69.5,86.5,17.0,63.5,76.5,13.0,4.0
0.01,0,5600,0.001,pre_decay,0.6821913551539183,31.780864484608173,0.20666839554905891,7.848840951919556,False,69.5,87.5,18.0,63.5,77.0,13.5,4.5
0.01,0,5800,0.001,pre_decay,0.6743589863181114,32.56410136818886,0.7832368835806847,6.822311878204346,False,69.5,86.5,17.0,63.5,74.0,10.5,6.5
0.01,0,6000,0.001,pre_decay,0.6721106255427003,32.78893744572997,0.2248360775411129,7.049417495727539,False,69.5,86.0,16.5,63.5,76.5,13.0,3.5
0.01,0,6200,0.001,pre_decay,0.6679545566439629,33.204544335603714,0.41560688987374306,5.4596662521362305,False,69.5,88.5,19.0,63.5,74.5,11.0,8.0
0.01,0,6400,0.001,pre_decay,0.6691922917962074,33.08077082037926,-0.12377351522445679,6.313592195510864,False,69.5,87.0,17.5,63.5,75.5,12.0,5.5
0.01,0,6600,0.001,pre_decay,0.6680595884099603,33.19404115900397,0.1132703386247158,4.533064365386963,False,69.5,87.0,17.5,63.5,76.0,12.5,5.0
0.01,0,6800,0.001,pre_decay,0.66038619261235,33.961380738765,0.7673395797610283,5.287063121795654,False,69.5,88.5,19.0,63.5,75.5,12.0,7.0
0.01,0,7000,0.001,pre_decay,0.6585551397874951,34.144486021250486,0.18310528248548508,5.941134691238403,False,69.5,90.0,20.5,63.5,74.5,11.0,9.5
0.01,0,7200,0.001,pre_decay,0.6615103762596846,33.848962374031544,-0.29552364721894264,9.61119532585144,False,69.5,86.0,16.5,63.5,80.5,17.0,-0.5
0.01,0,7400,0.001,pre_decay,0.6630490301176906,33.695096988230944,-0.15386538580060005,6.586119532585144,False,69.5,88.0,18.5,63.5,76.0,12.5,6.0
0.01,0,7600,0.001,pre_decay,0.67076784837991,32.923215162009,-0.7718818262219429,9.138810634613037,False,69.5,87.5,18.0,63.5,75.5,12.0,6.0
0.01,0,7800,0.001,pre_decay,0.6703022783622146,32.96977216377854,0.046557001769542694,5.895709991455078,False,69.5,87.0,17.5,63.5,77.5,14.0,3.5
0.01,0,8000,0.001,pre_decay,0.671040371991694,32.8959628008306,-0.07380936294794083,5.759447813034058,False,69.5,90.0,20.5,63.5,79.0,15.5,5.0
